iter	Passed	Remaining
403	10867	16031
404	10901	16015
405	10927	15987
406	10950	15955
407	10978	15928
408	11009	15908
409	11039	15886
410	11068	15862
411	11099	15841
412	11130	15819
413	11159	15796
414	11188	15772
415	11217	15747
416	11241	15716
417	11266	15686
418	11290	15655
419	11316	15627
420	11342	15599
421	11370	15573
422	11398	15548
423	11429	15527
424	11459	15504
425	11488	15479
426	11516	15454
427	11544	15429
428	11570	15400
429	11593	15368
430	11621	15342
431	11648	15316
432	11679	15294
433	11707	15267
434	11730	15236
435	11754	15205
436	11780	15177
437	11805	15147
438	11827	15114
439	11854	15088
440	11879	15058
441	11903	15028
442	11926	14996
443	11954	14969
444	11980	14942
445	12003	14909
446	12029	14882
447	12056	14855
448	12082	14827
449	12109	14800
450	12135	14772
451	12161	14744
452	12186	14715
453	12212	14687
454	12238	14659
455	12264	14631
456	12291	14604
457	12319	14579
458	12344	14550
459	12373	14524
460	12398	14496
461	12426	14470
462	12453	14444
463	12480	14417
464	12508	14391
465	12530	14359
466	12559	14334
467	12587	14308
468	12613	14280
469	12640	14254
470	12666	14225
471	12694	14200
472	12718	14170
473	12744	14142
474	12771	14115
475	12796	14086
476	12823	14060
477	12848	14031
478	12874	14002
479	12900	13975
480	12926	13947
481	12953	13921
482	12980	13894
483	13006	13866
484	13033	13840
485	13062	13815
486	13087	13786
487	13113	13758
488	13140	13732
489	13166	13704
490	13193	13676
491	13218	13648
492	13244	13620
493	13270	13592
494	13294	13562
495	13320	13535
496	13343	13504
497	13372	13480
498	13402	13455
499	13427	13427
500	13456	13402
501	13484	13376
502	13511	13350
503	13536	13322
504	13563	13295
505	13588	13266
506	13613	13237
507	13638	13209
508	13665	13181
509	13690	13153
510	13718	13127
511	13742	13098
512	13769	13071
513	13796	13044
514	13820	13015
515	13849	12990
516	13873	12960
517	13898	12932
518	13926	12906
519	13950	12877
520	13978	12851
521	14007	12826
522	14034	12799
523	14062	12773
524	14091	12749
525	14122	12726
526	14150	12700
527	14179	12675
528	14207	12649
529	14233	12622
530	14261	12596
531	14291	12571
532	14316	12543
533	14343	12516
534	14370	12489
535	14394	12461
536	14425	12437
537	14448	12407
538	14475	12381
539	14503	12354
540	14530	12328
541	14559	12303
542	14590	12279
543	14618	12253
544	14647	12228
545	14675	12202
546	14704	12177
547	14733	12152
548	14760	12125
549	14786	12098
550	14813	12071
551	14841	12044
552	14867	12017
553	14895	11991
554	14919	11962
555	14945	11935
556	14969	11905
557	14995	11878
558	15018	11848
