iter	RMSE
312	1.916145861
313	1.91607937
314	1.915417697
315	1.914358944
316	1.913874831
317	1.913289401
318	1.912343036
319	1.912337142
320	1.911828093
321	1.911822514
322	1.911822303
323	1.911817145
324	1.911785351
325	1.911374404
326	1.911359241
327	1.910876791
328	1.90977326
329	1.909771468
330	1.909766831
331	1.909090952
332	1.909086735
333	1.908542968
334	1.907657447
335	1.906172394
336	1.906161941
337	1.90616004
338	1.906155816
339	1.904415963
340	1.902893582
341	1.900674067
342	1.900671844
343	1.900667184
344	1.900120585
345	1.898931417
346	1.898901527
347	1.898227929
348	1.898225172
349	1.89822284
350	1.898220719
351	1.898218704
352	1.898216054
353	1.895198446
354	1.894216691
355	1.892089759
356	1.892084546
357	1.891890722
358	1.891880828
359	1.891876891
360	1.890527323
361	1.890521468
362	1.890517635
363	1.890516145
364	1.890513802
365	1.89049432
366	1.890493149
367	1.890483993
368	1.890453118
369	1.889030401
370	1.888600863
371	1.88860033
372	1.886624322
373	1.886209494
374	1.884962968
375	1.884949941
376	1.884929653
377	1.884929653
378	1.884929119
379	1.88421581
380	1.884198292
381	1.884193164
382	1.884180559
383	1.883457777
384	1.88345767
385	1.883457456
386	1.883457349
387	1.883456708
388	1.883071324
389	1.883066835
390	1.882848458
391	1.882030093
392	1.882029345
393	1.881283696
394	1.880709739
395	1.880659225
396	1.880658369
397	1.879938086
398	1.879936373
399	1.879934767
400	1.87992738
401	1.879899544
402	1.879899222
403	1.879291427
404	1.879290785
405	1.879290142
406	1.878940003
407	1.876949106
408	1.875830444
409	1.875828513
410	1.875821324
411	1.874804624
412	1.872609212
413	1.872607815
414	1.871839812
415	1.871824758
416	1.871816048
417	1.870856019
418	1.870847843
419	1.870495693
420	1.868649398
421	1.868243615
422	1.867055705
423	1.865705119
424	1.865701235
425	1.865209566
426	1.863952019
427	1.863856778
428	1.862929922
429	1.862914256
430	1.86291404
431	1.862913175
432	1.862912203
433	1.861757648
434	1.861743594
435	1.861735702
436	1.861728134
437	1.861374692
438	1.861361824
439	1.860057745
440	1.860023011
441	1.860012731
442	1.860001585
443	1.859438593
444	1.859431449
445	1.857873074
446	1.857866141
447	1.857859316
448	1.857858774
449	1.857638842
450	1.857527133
451	1.857122062
452	1.856433304
453	1.856430377
454	1.856429618
455	1.856112252
456	1.855043521
457	1.855043304
458	1.85443789
459	1.854437564
460	1.852938968
461	1.852907359
462	1.852213665
463	1.850807772
464	1.850800812
465	1.850800268
466	1.850799507
467	1.850798637
468	1.850789828
469	1.848446452
470	1.848434692
471	1.848433821
472	1.848433168
473	1.847985698
474	1.847276863
475	1.847276319
476	1.846816907
477	1.846816253
478	1.846816035
479	1.846815599
480	1.846815272
481	1.846814945
482	1.846814727
483	1.84617489
484	1.846174672
485	1.846174345
486	1.84457269
487	1.844572363
488	1.844572145
489	1.84361889
490	1.841606203
491	1.841605984
492	1.840886384
493	1.840885947
494	1.840885728
495	1.839590766
496	1.83959011
497	1.839475226
498	1.838585668
499	1.836796495
500	1.836796111
501	1.836795837
502	1.836795399
503	1.836795125
504	1.83599493
505	1.83509376
506	1.83481373
507	1.834132506
508	1.834132177
509	1.834131628
510	1.834118021
511	1.834117637
512	1.83346091
513	1.83346069
514	1.833446035
515	1.83344587
516	1.83273273
517	1.830528477
518	1.830528202
519	1.830528092
520	1.829438639
521	1.829438474
522	1.829438364
523	1.829438144
524	1.829438034
525	1.829437594
526	1.829437319
527	1.829437154
528	1.828799051
529	1.828508976
530	1.828166616
531	1.828166561
532	1.827527904
533	1.825422612
534	1.825422391
535	1.824530119
536	1.824105087
537	1.821737273
538	1.821737052
539	1.821719099
540	1.821718767
541	1.821718491
542	1.821381209
543	1.821380988
544	1.820423383
545	1.820423107
546	1.82042272
547	1.820422665
548	1.820420785
549	1.82042073
550	1.820420509
551	1.820420398
552	1.820420232
553	1.820420232
554	1.820420122
555	1.820420122
556	1.820201748
557	1.820201582
558	1.820201361
559	1.820201361
560	1.81912232
561	1.819121822
562	1.81911972
563	1.819119443
564	1.819119443
565	1.819119111
566	1.819119
567	1.819118724
568	1.817416094
569	1.817415983
570	1.817415873
571	1.817415707
572	1.81741554
573	1.81741543
574	1.817415319
575	1.817415264
576	1.817415097
577	1.817414987
578	1.817414821
579	1.815541596
580	1.814871104
581	1.814870827
582	1.814870716
583	1.814870605
584	1.814870439
585	1.814870494
586	1.81439722
587	1.814396998
588	1.814396776
589	1.814390065
590	1.812323429
591	1.812323207
592	1.811572866
593	1.811568199
594	1.811567977
595	1.811567699
596	1.811567644
597	1.811567644
598	1.811310534
599	1.8113102
600	1.811310256
601	1.811012767
602	1.811012434
603	1.811012267
604	1.8110121
605	1.811011878
606	1.811011711
607	1.811011711
608	1.811011489
609	1.810706782
610	1.810706726
611	1.810706615
612	1.810293292
613	1.810293014
614	1.810292958
615	1.808735532
616	1.80873531
617	1.808735254
618	1.808735087
619	1.808734865
620	1.808734809
621	1.808734809
622	1.808734754
623	1.808734587
624	1.80873442
625	1.807955983
626	1.80692549
627	1.806407963
628	1.80640189
629	1.805801123
630	1.805800956
631	1.805670936
632	1.804478808
633	1.803863174
634	1.801873715
635	1.800810069
636	1.800422533
637	1.797349025
638	1.79638847
639	1.793994508
640	1.793994452
641	1.79399434
642	1.793282683
643	1.792528694
644	1.791028474
645	1.791028418
646	1.791028249
647	1.791026226
648	1.79102617
649	1.791026058
650	1.789653746
651	1.788019585
652	1.786366297
653	1.785101972
654	1.785101747
655	1.78494389
656	1.784943213
657	1.784943101
658	1.784942988
659	1.784942706
660	1.783806795
661	1.783806682
662	1.783357442
663	1.783357386
664	1.78335716
665	1.783357104
666	1.780670248
667	1.780670135
668	1.779758197
669	1.779757858
670	1.778955597
671	1.778955484
672	1.778955427
673	1.778955314
674	1.778346746
675	1.778030328
676	1.778030158
677	1.778030045
678	1.778030045
679	1.777456716
680	1.776906423
681	1.776906309
682	1.776596376
683	1.776045306
684	1.776045249
685	1.776045136
686	1.774883119
687	1.774385397
688	1.77303551
689	1.773035453
690	1.772491566
691	1.772372559
692	1.77224338
693	1.772243323
694	1.771927519
695	1.771927463
696	1.771684992
697	1.771684083
698	1.771682095
699	1.770275461
700	1.770273073
701	1.770273073
702	1.769682332
703	1.769682218
704	1.76931801
705	1.769246684
706	1.768700948
707	1.768501567
708	1.76850151
709	1.768084581
710	1.767967214
711	1.767967157
712	1.767966815
713	1.76796653
714	1.76796653
715	1.766841407
716	1.766702538
717	1.766694564
718	1.766435651
719	1.766267978
720	1.766267693
721	1.766267295
722	1.765456566
723	1.765455312
724	1.765455198
725	1.765454172
726	1.765353788
727	1.764833821
728	1.764831996
729	1.763525413
730	1.763122718
731	1.761959204
732	1.7604989
733	1.758662674
734	1.756736082
735	1.756545828
736	1.756213506
737	1.756060502
738	1.755226827
739	1.75522677
740	1.75522505
741	1.754802845
742	1.75480273
743	1.753531315
744	1.752947103
745	1.752946758
746	1.752351957
747	1.752349602
748	1.752142158
749	1.751885977
750	1.751823535
751	1.751510369
752	1.751508301
753	1.751346496
754	1.750861109
755	1.750861052
756	1.750859385
757	1.750859385
758	1.75085927
759	1.75076167
760	1.750590312
761	1.749842887
762	1.749842715
763	1.74984214
764	1.748078368
765	1.747191351
766	1.747189277
767	1.747187261
768	1.747185764
769	1.747117854
770	1.747117797
771	1.747117739
772	1.747116357
773	1.746140444
774	1.746009151
775	1.745994166
776	1.745991341
777	1.745256421
778	1.745254748
779	1.74515153
780	1.745048536
781	1.745048536
782	1.744991443
783	1.744991443
784	1.744981755
785	1.744770262
786	1.744617927
787	1.744617754
788	1.744180865
789	1.744180577
790	1.74375108
791	1.743750446
792	1.743521776
793	1.743330484
794	1.743328405
795	1.74332829
796	1.743075606
797	1.742886054
798	1.742877047
799	1.742786276
800	1.742720678
801	1.742720389
802	1.742720216
803	1.742718195
804	1.742522771
805	1.74252254
806	1.74252202
807	1.742452081
808	1.741317984
809	1.74131625
810	1.741306657
811	1.741306772
812	1.741306541
813	1.741306425
814	1.741306194
815	1.741305963
816	1.741305847
817	1.74130579
818	1.740595544
819	1.74059537
820	1.740594041
821	1.74043712
822	1.740437004
823	1.740365188
824	1.738868288
825	1.738868346
826	1.73886007
827	1.73886007
828	1.738218416
829	1.738216969
830	1.73821558
831	1.738215348
832	1.738103837
833	1.738102332
834	1.7379376
835	1.736783579
836	1.736432059
837	1.736432059
838	1.736430552
839	1.736381289
840	1.736381289
841	1.735490729
842	1.734613636
843	1.734010978
844	1.733792285
845	1.733461523
846	1.731715645
847	1.731569426
848	1.731469693
849	1.731467717
850	1.731318339
851	1.730374809
852	1.730372716
853	1.730372716
854	1.730372599
855	1.72991658
856	1.729912392
857	1.72991245
858	1.729912275
859	1.729910763
860	1.729901281
861	1.729510657
862	1.728859946
863	1.728803191
864	1.727575322
865	1.72756606
866	1.727212897
867	1.726435125
868	1.726425915
869	1.725761562
870	1.725670999
871	1.725426344
872	1.724969659
873	1.7249682
874	1.724844048
875	1.724843989
876	1.724664863
877	1.723474218
878	1.723432176
879	1.723432176
880	1.72343206
881	1.723430541
882	1.723070574
883	1.722147068
884	1.721841889
885	1.721799808
886	1.721690156
887	1.721502751
888	1.721498016
889	1.721450197
890	1.721330293
891	1.719232395
892	1.718555482
893	1.717317297
894	1.716805465
895	1.716734009
896	1.71659777
897	1.716595777
898	1.716069539
899	1.715440774
900	1.714336357
901	1.714269083
902	1.714020511
903	1.71401646
904	1.713929092
905	1.713928975
906	1.713927742
907	1.713846536
908	1.712468791
909	1.712468791
910	1.712389866
911	1.712388691
912	1.712318931
913	1.712316933
914	1.712021699
915	1.712020641
916	1.711811543
917	1.711811484
918	1.711811307
919	1.711684202
920	1.711684143
921	1.711684084
922	1.711684025
923	1.711683908
924	1.71168379
925	1.711611473
926	1.711611356
927	1.711611356
928	1.711611297
929	1.711611238
930	1.711609357
931	1.711607475
932	1.711607475
933	1.711554499
934	1.71132488
935	1.711324821
936	1.711323821
937	1.71131747
938	1.711317412
939	1.710995009
940	1.710929604
941	1.710864549
942	1.710861784
943	1.710828608
944	1.710828608
945	1.710825903
946	1.710755079
947	1.710754138
948	1.71051941
949	1.709502237
950	1.709390267
951	1.709308727
952	1.709308609
953	1.709251736
954	1.709248026
955	1.709248026
956	1.709247732
957	1.709245436
958	1.709245436
959	1.70843227
960	1.708260377
961	1.707532143
962	1.707531259
963	1.707050509
964	1.707050214
965	1.706980118
966	1.706963316
967	1.706870576
968	1.70680348
969	1.706183686
970	1.706170592
971	1.705575822
972	1.705555406
973	1.705468727
974	1.705028299
975	1.705026764
976	1.704976476
977	1.704313977
978	1.70423308
979	1.70416777
980	1.702663279
981	1.702662156
982	1.7026024
983	1.702545775
984	1.700881055
985	1.700470036
986	1.700416417
987	1.700363566
988	1.700259043
989	1.700258155
990	1.700202399
991	1.700200742
992	1.699957927
993	1.699257582
994	1.698035373
995	1.698034129
996	1.697417951
997	1.696837786
998	1.696247753
999	1.696243897
